name,office,committee_or_agency,evidence_date,archive_page,evidence_type,confidence,notes
Jonathan Winfree,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
David Richter,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Doug Tharp,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
E.J. Nusbaum,RE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Joshua Reitano,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Kevin Twit,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Tim LeCroy,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Irwyn Ince,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Kyle Hackmann,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Dennis Hermerding,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Mike Sloan,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Jon Price,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
David Juelfs,TE,Overtures,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
James Kessler,TE,Covenant Seminary Committee of Commissioners,2016-06-01,6,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
Andy Moehn,TE,MNA Committee of Commissioners,2016-06-01,7,named_np_committee_participant,confirmed,"Listed by Kessler in current NP committee-work roster"
